CardID	Name	Text
AT_117	Master of Ceremonies	Battlecry: If you have a minion with Spell Damage, gain +2/+2.
AT_118	Grand Crusader	Battlecry: Add a random Paladin card to your hand.
AT_121	Crowd Favorite	Whenever you play a card with Battlecry, gain +1/+1.
AT_122	Gormok the Impaler	Battlecry: If you have at least 4 other minions, deal 4 damage.
AT_132	Justicar Trueheart	Battlecry: Replace your starting Hero Power with a better one.
AT_133	Gadgetzan Jouster	Battlecry: Reveal a minion in each deck. If yours costs more, gain +1/+1.
AV_100	Drek'Thar	[x]Battlecry: If this costs more than every minion in your deck, summon one of those minions.
AV_101	Herald of Lokholar	Battlecry: Draw a Frost spell.
AV_112	Snowblind Harpy	Battlecry: If you're holding a Frost spell, gain 5 Armor.
AV_113	Beaststalker Tavish	[x]Battlecry: Discover and cast 2 Improved Secrets.
AV_114	Shivering Sorceress	[x]Battlecry: Reduce the Cost of the highest Cost spell in your hand by (1).
AV_115	Amplified Snowflurry	Battlecry: Your next Hero Power costs (0) and Freezes the target.
AV_125	Tower Sergeant	Battlecry: If you control at_least 2 other minions, gain +2/+2.
AV_126	Bunker Sergeant	[x]Battlecry: If your opponent has 2 or more minions, deal 1 damage to all enemy minions.
AV_131	Knight-Captain	[x]Battlecry: Deal 3 damage. Honorable Kill: Gain +3/+3.
AV_136	Kobold Taskmaster	[x]Battlecry: Add 2 Armor Scraps to your hand that give +2 Health to a minion.
AV_138	Grimtotem Bounty Hunter	Battlecry: Destroy an enemy Legendary minion.
AV_142t	Ivus, the Forest Lord	[x]Battlecry: Spend the rest of your Mana and gain +2/+2, Rush, Divine Shield, or Taunt at random for each.
AV_145	Captain Galvangar	[x]Battlecry: If you have gained 15 or more Armor this game, gain +3/+3 and Charge.@ ({0} left!)@ (Ready!)
AV_200	Magister Dawngrasp	[x]Battlecry: Recast a spell from each spell school you've cast this game.
AV_202	Rokara, the Valorous	Battlecry: Equip a 5/2 Unstoppable Force.
AV_203	Shadowcrafter Scabbs	[x]Battlecry: Return all minions to their owner's hands. Summon two 4/2 Shadows with Stealth.
AV_204	Kurtrus, Demon-Render	[x]Battlecry: Summon two @/4 Demons with Rush. (Improved by your hero attacks this game.)
AV_205	Wildheart Guff	[x]Battlecry: Set your maximum Mana to 20. Gain an empty Mana Crystal. Draw a card.
AV_206	Lightforged Cariel	[x]Battlecry: Deal 2 damage to all enemies. Equip a 2/5 Immovable Object.
AV_207	Xyrella, the Devout	[x]Battlecry: Trigger the Deathrattle of every friendly minion that died this game.
AV_210	Pathmaker	[x]Battlecry: Cast the other choice from the last Choose One spell you've cast. @Battlecry: {0}
AV_219	Ram Commander	[x]Battlecry: Add two 1/1 Rams with Rush to your hand.
AV_222	Spammy Arcanist	[x]Battlecry: Deal 1 damage to all other minions. If any die, repeat this.
AV_223	Vanndar Stormpike	[x]Battlecry: If this costs less than every minion in your deck, reduce their Cost by (3).
AV_255	Snowfall Guardian	[x]Battlecry: Freeze all other minions.
AV_256	Reflecto Engineer	Battlecry: Swap the Attack and Health of all minions in both players' hands.
AV_257	Bearon Gla'shear	[x]Battlecry: For each Frost spell you've cast this game, summon a 3/4 Elemental that Freezes.@ (@)
AV_258	Bru'kan of the Elements	[x]Battlecry: Call upon the power of two Elements!
AV_260	Sleetbreaker	Battlecry: Add a Windchill to your hand.
AV_262	Warden of Chains	[x]Taunt Battlecry: If you're holding a Demon that costs (5) or more, gain +1/+2.
AV_267	Caria Felsoul	Battlecry: Transform into a 6/6 copy of a Demon in your deck.
AV_284	Balinda Stonehearth	Battlecry: Draw 2 spells. Swap their Costs with this minion's stats.
AV_286	Felwalker	Taunt. Battlecry: Cast the highest Cost Fel spell from your hand.
AV_294	Clawfury Adept	Battlecry: Give all other friendly characters +1 Attack this turn.
AV_296	Pride Seeker	[x]Battlecry: Your next Choose One card costs (2) less.
AV_308	Grave Defiler	[x]Battlecry: Choose a Fel spell in your hand. Get a copy of it.
AV_312	Sacrificial Summoner	Battlecry: Destroy a friendly minion. Summon a minion from your deck that costs (1) more.
AV_313	Hollow Abomination	[x]Battlecry: Deal 1 damage to all enemy minions. Honorable Kill: Gain the minion's Attack.
AV_316	Dreadlich Tamsin	[x]Battlecry: Deal 3 damage to all minions. Shuffle 3 Rifts into your deck. Draw 3 cards.
AV_323	Scrapsmith	Taunt Battlecry: Add two 2/4 Grunts with Taunt to your hand.
AV_331	Najak Hexxen	[x]Battlecry: Take control of an enemy minion. Deathrattle: Give the minion back.
AV_335	Ram Tamer	[x]Battlecry: If you control a Secret, gain +1/+1 and Stealth.
AV_336	Wing Commander Ichman	[x]Battlecry: Summon a Beast from your deck and give it Rush. If it kills a minion this turn, repeat.
AV_343	Stonehearth Vindicator	[x]Battlecry: Draw a spell that costs (3) or less. It costs (0) this turn.
AV_403	Cera'thine Fleetrunner	[x]Battlecry: Replace your minions in hand and deck with ones from other classes. They cost (2) less.
AV_711	Double Agent	[x]Battlecry: If you're holding a card from another class, _summon a copy of this.
BAR_030	Pack Kodo	Battlecry: Discover a Beast, Secret, or weapon.
BAR_037	Warsong Wrangler	[x]Battlecry: Discover a Beast from your deck. Give all copies of it +2/+1 (wherever_they_are).
BAR_040	South Coast Chieftain	Battlecry: If you control another Murloc, deal 2_damage.
BAR_042	Primordial Protector	[x]Battlecry: Draw your highest Cost spell. Summon a random minion with the same Cost.
BAR_045	Arid Stormer	Battlecry: If you played an Elemental last turn, gain Rush and Windfury.
BAR_060	Hog Rancher	Battlecry: Summon a 2/1 Hog with Rush.
BAR_061	Ratchet Privateer	Battlecry: Give your weapon +1 Attack.
BAR_062	Lushwater Murcenary	Battlecry: If you control a Murloc, gain +1/+1.
BAR_064	Talented Arcanist	Battlecry: Your next spell_this turn has Spell_Damage +2.
BAR_065	Venomous Scorpid	Poisonous Battlecry: Discover a spell.
BAR_069	Injured Marauder	Taunt Battlecry: Deal 6 damage to this minion.
BAR_077	Kargal Battlescar	[x]Battlecry: Summon a 5/5 Lookout for each Watch Post you've __summoned this game.
BAR_079	Kazakus, Golem Shaper	Battlecry: If your deck has no 4-Cost cards, build a custom Golem.
BAR_079t11	Gromsblood	Battlecry: Summon a copy of this.
BAR_079t12	Icecap	Battlecry: Freeze a random enemy minion.
BAR_079t12b	Icecap	Battlecry: Freeze two random enemy minions.
BAR_079t12c	Icecap	Battlecry: Freeze all enemy minions.
BAR_079t13	Firebloom	Battlecry: Deal 3 damage to a random enemy minion.
BAR_079t13b	Firebloom	Battlecry: Deal 3 damage to two random enemy minions.
BAR_080	Shadow Hunter Vol'jin	Battlecry: Choose a minion. Swap it with a random one in its owner's hand.
BAR_081	Southsea Scoundrel	Battlecry: Discover a card in your opponent's deck. They draw theirs as well.
BAR_307	Void Flayer	[x]Battlecry: For each spell in your hand, deal 1 damage to a random enemy minion.
BAR_313	Priest of An'she	Taunt. Battlecry: If you've restored Health this turn, gain +3/+3.
BAR_315	Serena Bloodfeather	Battlecry: Choose an enemy minion. Steal Attack and Health from it until this has more.
BAR_316	Oil Rig Ambusher	[x]Battlecry: Deal 2 damage. If this entered your hand _this turn, deal 4 instead.
BAR_317	Field Contact	[x]After you play a Battlecry or Combo card, draw a card.
BAR_324	Apothecary Helbrim	Battlecry and Deathrattle: Add a random Poison to your hand.
BAR_329	Death Speaker Blackthorn	Battlecry: Summon 3 Deathrattle minions that cost (5) or less from your deck.
BAR_333	Kurtrus Ashfallen	[x]Battlecry: Attack the left and right-most enemy minions. Outcast: Immune this turn.
BAR_334	Overlord Saurfang	Battlecry: Resurrect 2 friendly Frenzy minions. Deal 1 damage to all other minions.
BAR_430	Horde Operative	Battlecry: Copy your opponent's Secrets and put them into play.
BAR_544	Reckless Apprentice	Battlecry: Fire your Hero Power at all enemies.
BAR_547	Mordresh Fire Eye	[x]Battlecry: If you've dealt 10 damage with your Hero Power this game, deal 10 damage to all enemies.@ ({0} left!)@ (Ready!)
BAR_551	Barak Kodobane	[x]Battlecry: Draw a 1, 2, __and 3-Cost spell.
BAR_721	Mankrik	[x]Battlecry: Help Mankrik find his wife! She was last seen somewhere in your deck.
BAR_735	Xyrella	Battlecry: If you've restored Health this turn, deal that much damage to all enemy minions.
BAR_743	Toad of the Wilds	[x]Taunt Battlecry: If you're holding a Nature spell, gain +2 Health.
BAR_745	Hecklefang Hyena	Battlecry: Deal 3 damage to your hero.
BAR_748	Varden Dawngrasp	[x]Battlecry: Freeze all enemy minions. If any are already Frozen, deal 4 damage to them instead.
BAR_750	Earth Revenant	[x]Taunt Battlecry: Deal 1 damage to all enemy minions.
BAR_840	Whirling Combatant	[x]Battlecry and Frenzy: Deal 1 damage to all other minions.
BAR_846	Mor'shan Elite	[x]Taunt. Battlecry: If your hero attacked this turn, summon a copy of this.
BAR_848	Lilypad Lurker	[x]Battlecry: If you played an Elemental last turn, transform an enemy minion into a 0/1 Frog with Taunt.
BAR_854	Kindling Elemental	[x]Battlecry: The next Elemental you play costs (1) less.
BAR_873	Knight of Anointment	Battlecry: Draw a Holy spell.
BAR_876	Northwatch Commander	Battlecry: If you control a Secret, draw a minion.
BAR_879	Cannonmaster Smythe	Battlecry: Transform your Secrets into 3/3 Soldiers. They transform back when they die.
BAR_915	Kabal Outfitter	[x]Battlecry and Deathrattle: Give another random _friendly minion +1/+1.
BAR_916	Blood Shard Bristleback	[x]Lifesteal. Battlecry: If your deck contains 10 or fewer cards, deal 6 damage to a minion.
BAR_919	Neeru Fireblade	Battlecry: If your deck is empty, open a portal that fills your board with 3/2 Imps each turn.
BOT_034	Boommaster Flark	Battlecry: Summon four 0/2 Goblin Bombs.
BOT_038	Fireworks Tech	[x]Battlecry: Give a friendly Mech +1/+1. If it has Deathrattle, trigger it.
BOT_079	Faithful Lumi	Battlecry: Give a friendly Mech +1/+1.
BOT_083	Toxicologist	Battlecry: Give your weapon +1 Attack.
BOT_104	Dyn-o-matic	Battlecry: Deal 5 damage randomly split among all minions_except_Mechs.
BOT_216	Omega Medic	Battlecry: If you have 10 Mana Crystals, restore #10 Health to your hero.
BOT_224	Doubling Imp	Battlecry: Summon a copy of this minion.
BOT_226	Nethersoul Buster	Battlecry: Gain +1 Attack for each damage your hero has taken this turn.
BOT_238	Dr. Boom, Mad Genius	Battlecry: For the rest of the game, your Mechs have Rush.
BOT_243	Myra Rotspring	[x]Battlecry: Discover a Deathrattle minion. Also gain its Deathrattle.
BOT_256	Astromancer	[x]Battlecry: Summon a random minion with Cost equal to your hand size.
BOT_270	Giggling Inventor	Battlecry: Summon two 1/2 Mechs with Taunt and_Divine Shield.
BOT_283	Pogo-Hopper	[x]Battlecry: Gain +2/+2 for each other Pogo-Hopper you played this game.
BOT_288	Lab Recruiter	Battlecry: Shuffle 3 copies of a friendly minion into your deck.
BOT_291	Storm Chaser	Battlecry: Draw a spell from your deck that costs_(5) or more.
BOT_296	Omega Defender	[x]Taunt Battlecry: If you have 10 Mana Crystals, gain +10 Attack.
BOT_411	Electra Stormsurge	Battlecry: Your next spell this turn casts twice.
BOT_413	Brainstormer	[x]Battlecry: Gain +1 Health for each spell in your hand.
BOT_419	Dendrologist	Battlecry: If you control a Treant, Discover a spell.
BOT_431	Whirliglider	Battlecry: Summon a 0/2_Goblin Bomb.
BOT_447	Crystallizer	[x]Battlecry: Deal 5 damage to your hero. Gain 5 Armor.
BOT_448	Damaged Stegotron	Taunt Battlecry: Deal 6 damage to this minion.
BOT_507	Gloop Sprayer	Battlecry: Summon a copy of each adjacent minion.
BOT_511	Seaforium Bomber	[x]Battlecry: Shuffle a Bomb into your opponent's deck. When drawn, it explodes for 5 damage.
BOT_531	Celestial Emissary	Battlecry: Your next spell_this turn has Spell_Damage +2.
BOT_531_Puzzle	Celestial Emissary	Battlecry: Your next spell_this turn has Spell_Damage +2.
BOT_532	Explodinator	Battlecry: Summon two 0/2 Goblin Bombs.
BOT_533	Menacing Nimbus	Battlecry: Add a random Elemental to your hand.
BOT_535	Microtech Controller	Battlecry: Summon two 1/1 Microbots.
BOT_536	Omega Agent	[x]Battlecry: If you have 10 Mana Crystals, summon _2 copies of this minion.
BOT_538	Spark Engine	Battlecry: Add a 1/1 Spark with Rush to_your hand.
BOT_539	Arcane Dynamo	Battlecry: Discover a spell that costs (5) or more.
BOT_540	E.M.P. Operative	Battlecry: Destroy a Mech.
BOT_543	Omega Mind	[x]Battlecry: If you have 10 Mana Crystals, your spells have Lifesteal this turn.
BOT_544	Loose Specimen	Battlecry: Deal 6 damage randomly split among other friendly minions.
BOT_550	Electrowright	Battlecry: If you're holding a spell that costs (5) or more, gain +1/+1.
BOT_552	Star Aligner	[x]Battlecry: If you control 3 minions with 7 Health, deal 7 damage to all enemies.
BOT_562	Coppertail Imposter	Battlecry: Gain Stealth until your next turn.
BOT_573	Subject 9	Battlecry: Draw 5 different Secrets from your deck.
BOT_601	Meteorologist	Battlecry: For each card in your hand, deal 1 damage to a random enemy.
BOT_907	Galvanizer	[x]Battlecry: Reduce the Cost of Mechs in your hand by (1).
BOT_910	Glowstone Technician	Battlecry: Give all minions in your hand +2/+2.
BRM_004	Twilight Whelp	Battlecry: If you're holding a Dragon, gain +2 Health.
BRM_008	Dark Iron Skulker	Battlecry: Deal 2 damage to all undamaged enemy minions.
BRM_012	Fireguard Destroyer	Battlecry: Gain 1-4 Attack. Overload: (1)
BRM_014	Core Rager	Battlecry: If your hand is empty, gain +3/+3.
BRM_018	Dragon Consort	Battlecry: The next Dragon you play costs (2) less.
BRM_024	Drakonid Crusher	Battlecry: If your opponent has 15 or less Health, gain +3/+3.
BRM_026	Hungry Dragon	Battlecry: Summon a random 1-Cost minion for_your opponent.
BRM_029	Rend Blackhand	Battlecry: If you're holding a Dragon, destroy a Legendary minion.
BRM_030	Nefarian	Battlecry: Add 2 random spells to your hand (from your opponent's class).
BRM_033	Blackwing Technician	Battlecry: If you're holding a Dragon, gain +1/+1.
BRM_034	Blackwing Corruptor	Battlecry: If you're holding a Dragon, deal 5 damage.
BT_010	Felfin Navigator	Battlecry: Give your other Murlocs +1/+1.
BT_019t	Murgurgle Prime	Divine Shield Battlecry: Summon 4 random Murlocs. Give them Divine Shield.
BT_020	Aldor Attendant	Battlecry: Reduce the Cost_of your Librams by_(1) this game.
BT_026	Aldor Truthseeker	Taunt. Battlecry: Reduce the Cost of your Librams by (2) this game.
BT_028t	Solarian Prime	Spell Damage +1 Battlecry: Cast 5 random Mage spells (targets enemies if possible).
BT_106	Bogstrok Clacker	Battlecry: Transform adjacent minions into random minions that cost (1) more.
BT_109t	Vashj Prime	[x]Spell Damage +1 Battlecry: Draw 3 spells. ___Reduce their Cost by (3).___
BT_114	Shattered Rumbler	Battlecry: If you cast a spell last turn, deal 2 damage to all other minions.
BT_115	Marshspawn	Battlecry: If you cast a spell last turn, Discover a spell.
BT_120	Warmaul Challenger	Battlecry: Choose an enemy minion. Battle it to the death!
BT_126	Teron Gorefiend	[x]Battlecry: Destroy all other friendly minions. Deathrattle: Resummon them with +1/+1.
BT_131	Ysiel Windsinger	Battlecry: Your spells cost (1) this turn.
BT_140	Bonechewer Raider	Battlecry: If there is a damaged minion, gain +1/+1 and Rush.
BT_142	Shadowhoof Slayer	Battlecry: Give your hero +1_Attack this turn.
BT_159	Terrorguard Escapee	Battlecry: Summon three 1/1 Huntresses for your_opponent.
BT_160	Rustsworn Cultist	"[x]Battlecry: Give your other minions ""Deathrattle: Summon a 1/1 Demon."""
BT_196	Keli'dan the Breaker	[x]Battlecry: Destroy a minion. If drawn this turn, instead destroy all minions except this one.
BT_210t	Zixor Prime	[x]Rush Battlecry: Summon 3 copies of this minion.
BT_212	Mok'Nathal Lion	Rush. Battlecry: Choose a friendly minion. Gain a copy of its Deathrattle.
BT_214	Beastmaster Leoroxx	Battlecry: Summon 3 Beasts from your hand.
BT_230	The Lurker Below	[x]Battlecry: Deal 3 damage to an enemy minion. If it dies, repeat on one of its neighbors.
BT_262	Dragonmaw Sentinel	Battlecry: If you're holding a Dragon, gain +1 Attack and Lifesteal.
BT_301	Nightshade Matron	Rush Battlecry: Discard your highest Cost card.
BT_307	Darkglare	Battlecry: If your hero took damage this turn, refresh 3 Mana Crystals.
BT_309t	Kanrethad Prime	Battlecry: Summon 3 friendly Demons that died_this game.
BT_321	Netherwalker	Battlecry: Discover a Demon.
BT_323	Sightless Watcher	Battlecry: Look at 3 cards in your deck. Choose one to put on top.
BT_334	Lady Liadrin	[x]Battlecry: Add a copy of each spell you cast on friendly characters this game to your hand.
BT_416	Raging Felscreamer	Battlecry: The next Demon you play costs (2) less.
BT_481	Nethrandamus	[x]Battlecry: Summon two random @-Cost minions. (Upgrades each time a friendly minion dies!)
BT_495	Glaivebound Adept	Battlecry: If your hero attacked this turn, deal 4 damage.
BT_496	Furious Felfin	[x]Battlecry: If your hero attacked this turn, gain +1 Attack and Rush.
BT_702	Ashtongue Slayer	Battlecry: Give a Stealthed minion +3 Attack and Immune this turn.
BT_710	Greyheart Sage	[x]Battlecry: If you control a Stealthed minion, draw 2 cards.
BT_711	Blackjack Stunner	[x]Battlecry: If you control a Secret, return a minion to its owner's hand. It costs (2) more.
BT_714	Frozen Shadoweaver	Battlecry: Freeze an_enemy.
BT_717	Burrowing Scorpid	[x]Battlecry: Deal 2 damage. If that kills the target, gain Stealth.
BT_720	Ruststeed Raider	Taunt, Rush Battlecry: Gain +4 Attack this turn.
BT_722	Guardian Augmerchant	Battlecry: Deal 1 damage to a minion and give it Divine Shield.
BT_723	Rocket Augmerchant	Battlecry: Deal 1 damage to a minion and give it Rush.
BT_724	Ethereal Augmerchant	Battlecry: Deal 1 damage to a minion and give it Spell Damage +1.
BT_729	Waste Warden	[x]Battlecry: Deal 3 damage to a minion and all others of the same minion type.
BT_732	Scavenging Shivarra	Battlecry: Deal 6 damage randomly split among all_other minions.
BT_737	Maiev Shadowsong	Battlecry: Choose a minion. It goes Dormant for 2 turns.
BT_850	Magtheridon	[x]Dormant. Battlecry: Summon three 1/3 enemy Warders. When they die, destroy all minions and awaken.
BT_922	Umberwing	Battlecry: Summon two 1/1 Felwings.
CATA_111	Darkscale Broodmother	Battlecry: If you're holding a Dragon, refresh 2 Mana Crystals.
CATA_131	Felwood Treant	[x]Battlecry: Gain a temporary Mana Crystal. If you spent 4 Mana while holding this, it's ___permanent. ({0} left!)@[x]Battlecry: Gain a temporary Mana Crystal. If you spent 4 Mana while holding this, it's ___permanent. (Ready!)@[x]Battlecry: Gain a temporary Mana Crystal. If you spent 4 Mana while holding this, it's permanent.
CATA_132	Broodwatcher	[x]Battlecry: Get two 3/3 Whelps with Taunt. If you spent 8 Mana while holding this, summon them. ({0} left!)@[x]Battlecry: Get two 3/3 Whelps with Taunt. If you spent 8 Mana while holding this, summon them. (Ready!)@[x]Battlecry: Get two 3/3 Whelps with Taunt. If you spent 8 Mana while holding this, summon them.
CATA_140	Merithra of the Dream	[x]Battlecry: Fill your hand with random Dragons. If you spent 25 Mana while holding this, they cost (1). ({0} left!)@[x]Battlecry: Fill your hand with random Dragons. If you spent 25 Mana while holding this, they cost (1). (Ready!)@[x]Battlecry: Fill your hand with random Dragons. If you spent 25 Mana while holding this, they cost (1).
CATA_153	Al'Akir, Lord of Storms	[x]Colossal +2, Rush, Windfury Battlecry: Get 2 minions with Cost equal to this minion's Attack. They cost (1).
CATA_160	Scorching Ravager	Battlecry: Herald {0}. Give the Soldier Rush.
CATA_161	Gruesome Nightmare	Battlecry: Give a minion in your hand or battlefield Attack equal to this minion's Attack.
CATA_180	War'loc	[x]Battlecry: Your next Murloc that costs (3) or less costs _Health instead of Mana.
CATA_186	Stickybomb Saboteur	[x]Battlecry: Give your opponent a 2-Cost Sabotage. Cards next to it cost (1) more.
CATA_190h	Deathwing, Worldbreaker	[x]Battlecry: Choose {0} |4(Cataclysm,Cataclysms) to unleash! Herald twice to upgrade.@[x]Battlecry: Choose {0} |4(Cataclysm,Cataclysms) to unleash! Herald once to upgrade.@[x]Battlecry: Choose {0} |4(Cataclysm,Cataclysms) to unleash!
CATA_200	Agent of the Old Ones	[x]Battlecry: Choose a card in your hand to transform into a Coin.
CATA_201	Twilight Mistress	Battlecry: Return all enemy minions to their owner's hand.
CATA_209	Battlefield Blaster	[x]Battlecry: Choose a spell in your hand to give Spell Damage +1.
CATA_213	Vyranoth	[x]Battlecry: If the total Cost of your starting minions was 100, split 100 stats among minions in your deck.
CATA_216	Cleansing Cleric	Battlecry: Your healing effects restore 2 more Health this game.
CATA_304	Injured Attendant	Lifesteal Battlecry: Deal 4 damage to this minion.
CATA_307	Alexstrasza, Guardian of Life	[x]Battlecry: Set your remaining Health to 15. When you reach full Health, deal 15 damage to your opponent.
CATA_458	Archmage Kalec	[x]Battlecry: Give all spells in your hand and deck Spell Damage +1.
CATA_470	Victor Nefarius	[x]Battlecry: Craft a custom Undead Dragon. If you're holding a Dragon, reduce the Creation's Cost by (3).
CATA_481	Iso'rath	[x]Battlecry: Devour 2 random cards from the opponent's hand, then go Dormant for 2 turns. Deathrattle: Return them.
CATA_483	Unstable Spellcaster	[x]Spell Damage +1 Battlecry: If you dealt damage with a spell this turn, summon a copy of this.
CATA_484	Winterspring Whelp	Battlecry: Discover a 1-Cost spell from any_class.
CATA_490	Ocular Occultist	[x]Taunt Battlecry: Choose a card in your hand to discard.
CATA_497	Ultraxion	[x]Battlecry: Herald {0}. Reduce Deathwing's Cost by ({1}). (Herald to improve!)
CATA_525	Armored Bloodletter	Rush Battlecry: Herald {0}.
CATA_552	Ebonscale Scout	[x]Battlecry: Deal damage equal to this minion's Attack. (While in hand, play a Dragon to become an 8/8 Dragon!)
CATA_552t	Ebonscale Scout	[x]Battlecry: Deal damage equal to this minion's Attack.
CATA_553	Ebyssian	[x]Battlecry: Your Dragons have Rush this game. (While in hand, play a Dragon to become a 12/12 Dragon!)
CATA_553t	Ebyssian	[x]Battlecry: Your Dragons have Rush this game.
CATA_556	Carrier Whelp	Battlecry: Get a random Dragon that costs (3) or less.
CATA_563	Crackling Cloudstrider	[x]Battlecry: Choose a spell in your hand that costs (4) or less to absorb. Deathrattle: Cast it.
CATA_564	Air Support	[x]Battlecry: Give a friendly minion Mega-Windfury. It can't attack heroes.
CATA_565	Skywall Sentinel	Taunt Battlecry: Herald {0}.
CATA_566	Tol'vir Carver	[x]Battlecry: Choose a card in your hand. At the start of your turns, reduce its Cost by (1).
CATA_570	Morchok	[x]Battlecry: Draw a card and reduce its Cost by (10). Repeat this with excess Cost reduction.
CATA_580	Cataclysmic War Axe	Battlecry: Herald {0}.
CATA_591	Commander Geddon	[x]Battlecry: Instead of drawing each turn, Discover a card from your deck. It costs (3) __less. Destroy the others.
CATA_612	Frostbitten Imp	Battlecry: Freeze this.
CATA_614	Shadowed Informant	[x]Battlecry: Discover a spell from your class. (Swaps class each turn!)@[x]Battlecry: Discover a {0} spell. ____(Swaps class each turn!)__
CATA_615t	Genn, Worgen King	Battlecry: Upgrade your starting Hero Power. It costs (1).
CATA_697	Malevolent Mutant	[x]Battlecry: Choose a Fel spell in your hand. Get a copy of it.
CATA_699	Dread Leviathan	[x]Taunt. Battlecry: Choose an enemy minion to steal 3 _Health from, three times.
CATA_720	Warmaster Blackhorn	Battlecry: Destroy all cards that cost (2) or less in both players' decks.
CATA_721	Sheltered Survivor	[x]Battlecry: Choose a card in your hand to shuffle into your deck. Draw a card.
CATA_722	Envoy of the End	Taunt Battlecry: Herald {0}.
CATA_725	Shadowsworn Disciple	Battlecry: Herald {0}. Deathrattle: Restore #3 Health to your hero.
CATA_780	Obsessive Technician	Lifesteal Battlecry: Herald {0}.
CATA_897	Gemstone Hoarder	[x]Battlecry: Choose a card in your hand to discard. Deathrattle: Get it back. It costs (1) less.
CATA_979	Conjuration Specialist	Battlecry: Choose a spell in your hand. Split it into two random spells of the same Cost.
CATA_EVENT_000	Primordial Lord	Battlecry: Get a random Colossal minion from the past.
CATA_EVENT_001	Destructive Phoenix	[x]Battlecry: Choose a card in your hand to set on fire. In 3 turns, discard it and summon a copy of this.
CATA_EVENT_002	Baleful Blazer	Battlecry: If you've played a Fire spell this turn, destroy a minion.
CFM_020	Raza the Chained	[x] Battlecry: If your deck has no duplicates, your Hero Power costs (0) this game.
CFM_061	Jinyu Waterspeaker	[x]Battlecry: Restore #6 Health. Overload: (1)
CFM_062	Grimestreet Protector	[x]Taunt Battlecry: Give adjacent _minions Divine Shield.
CFM_063	Kooky Chemist	Battlecry: Swap the Attack and Health of a minion.
CFM_064	Blubber Baron	Whenever you summon a Battlecry minion while this_is in your hand, gain_+1/+1.
CFM_066	Kabal Lackey	[x]Battlecry: The next Secret you play this turn costs (1).
CFM_067	Hozen Healer	Battlecry: Restore a minion to full Health.
CFM_312	Jade Chieftain	Battlecry: Summon a{1} {0} Jade Golem. Give it Taunt. @Battlecry: Summon a Jade Golem. Give it Taunt.
CFM_315	Alleycat	Battlecry: Summon a 1/1_Cat.
CFM_321	Grimestreet Informant	[x]Battlecry: Discover a Hunter, Paladin, or Warrior card.
CFM_328	Fight Promoter	[x]Battlecry: If you control a minion with 6 or more _Health, draw two cards.
CFM_335	Dispatch Kodo	Battlecry: Deal damage equal to this minion's Attack.
CFM_338	Trogg Beastrager	Battlecry: Give a random Beast in your hand +1/+1.
CFM_342	Luckydo Buccaneer	Battlecry: If your weapon has at least 3 Attack, gain +4/+4.
CFM_343	Jade Behemoth	[x]Taunt Battlecry: Summon a{1} {0} Jade Golem.@[x]Taunt Battlecry: Summon a Jade Golem.
